Date,Store ID,Product ID,Product Name,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2023-01-01,S001,P0001,Arabica Coffee 500g,Groceries,North,373,141,150,135,33.5,0,Rainy,0,35.38,Winter
2023-01-02,S001,P0001,Arabica Coffee 500g,Groceries,North,586,147,195,140,33.5,0,Windy,0,35.76,Winter
2023-01-03,S001,P0001,Arabica Coffee 500g,Groceries,North,687,172,206,177,33.5,0,Rainy,0,36.16,Winter
2023-01-04,S001,P0001,Arabica Coffee 500g,Groceries,North,336,160,141,168,33.5,0,Sunny,0,31.48,Winter
2023-01-05,S001,P0001,Arabica Coffee 500g,Groceries,North,348,111,91,100,33.5,15,Sunny,0,34.21,Winter
2023-01-06,S001,P0001,Arabica Coffee 500g,Groceries,North,220,105,137,95,33.5,10,Sunny,0,35.52,Winter
2023-01-07,S001,P0001,Arabica Coffee 500g,Groceries,North,418,122,148,130,33.5,15,Cloudy,0,31.5,Winter
2023-01-08,S001,P0001,Arabica Coffee 500g,Groceries,North,381,138,172,141,33.5,0,Sunny,0,35.85,Winter
2023-01-09,S001,P0001,Arabica Coffee 500g,Groceries,North,537,161,147,153,33.5,0,Sunny,0,36.72,Winter
2023-01-10,S001,P0001,Arabica Coffee 500g,Groceries,North,255,156,182,141,33.5,5,Rainy,0,36.07,Winter
2023-01-11,S001,P0001,Arabica Coffee 500g,Groceries,North,313,162,138,151,33.5,10,Cloudy,0,33.22,Winter
2023-01-12,S001,P0001,Arabica Coffee 500g,Groceries,North,426,138,157,128,33.5,10,Windy,0,36.49,Winter
2023-01-13,S001,P0001,Arabica Coffee 500g,Groceries,North,347,118,143,121,33.5,0,Cloudy,0,31.14,Winter
2023-01-14,S001,P0001,Arabica Coffee 500g,Groceries,North,331,132,143,121,33.5,5,Windy,0,31.05,Winter
2023-01-15,S001,P0001,Arabica Coffee 500g,Groceries,North,334,148,156,151,33.5,0,Cloudy,0,32.91,Winter
2023-01-16,S001,P0001,Arabica Coffee 500g,Groceries,North,314,154,177,148,33.5,0,Rainy,0,30.39,Winter
2023-01-17,S001,P0001,Arabica Coffee 500g,Groceries,North,464,173,161,175,33.5,0,Cloudy,0,34.85,Winter
2023-01-18,S001,P0001,Arabica Coffee 500g,Groceries,North,454,145,143,153,33.5,5,Rainy,0,33.83,Winter
2023-01-19,S001,P0001,Arabica Coffee 500g,Groceries,North,432,141,143,141,33.5,0,Windy,0,36.09,Winter
2023-01-20,S001,P0001,Arabica Coffee 500g,Groceries,North,328,119,132,126,33.5,15,Rainy,0,32.26,Winter
2023-01-21,S001,P0001,Arabica Coffee 500g,Groceries,North,336,123,106,112,33.5,10,Windy,0,30.52,Winter
2023-01-22,S001,P0001,Arabica Coffee 500g,Groceries,North,322,138,124,132,33.5,0,Windy,0,35.13,Winter
2023-01-23,S001,P0001,Arabica Coffee 500g,Groceries,North,642,180,236,175,33.5,0,Rainy,0,34.18,Winter
2023-01-24,S001,P0001,Arabica Coffee 500g,Groceries,North,407,169,232,185,33.5,0,Sunny,0,35.32,Winter
2023-01-25,S001,P0001,Arabica Coffee 500g,Groceries,North,489,152,185,148,33.5,0,Windy,0,30.22,Winter
2023-01-26,S001,P0001,Arabica Coffee 500g,Groceries,North,368,131,117,122,33.5,0,Rainy,0,35.75,Winter
2023-01-27,S001,P0001,Arabica Coffee 500g,Groceries,North,361,125,162,137,33.5,20,Rainy,0,33.15,Winter
2023-01-28,S001,P0001,Arabica Coffee 500g,Groceries,North,219,129,161,127,33.5,0,Sunny,0,33.29,Winter
2023-01-29,S001,P0001,Arabica Coffee 500g,Groceries,North,294,151,202,137,33.5,0,Rainy,0,32.11,Winter
2023-01-30,S001,P0001,Arabica Coffee 500g,Groceries,North,510,172,188,157,33.5,0,Sunny,0,31.78,Winter
2023-01-31,S001,P0001,Arabica Coffee 500g,Groceries,North,612,198,235,204,33.5,10,Windy,0,30.54,Winter
2023-02-01,S001,P0001,Arabica Coffee 500g,Groceries,North,438,154,154,164,33.5,0,Windy,0,33.38,Winter
2023-02-02,S001,P0001,Arabica Coffee 500g,Groceries,North,475,131,144,141,33.5,10,Cloudy,0,35.85,Winter
2023-02-03,S001,P0001,Arabica Coffee 500g,Groceries,North,313,114,127,104,33.5,0,Rainy,0,32.82,Winter
2023-02-04,S001,P0001,Arabica Coffee 500g,Groceries,North,406,132,119,127,33.5,15,Cloudy,0,30.32,Winter
2023-02-05,S001,P0001,Arabica Coffee 500g,Groceries,North,416,159,156,162,33.5,15,Sunny,0,30.2,Winter
2023-02-06,S001,P0001,Arabica Coffee 500g,Groceries,North,544,167,197,183,33.5,0,Windy,0,33.35,Winter
2023-02-07,S001,P0001,Arabica Coffee 500g,Groceries,North,612,163,200,178,33.5,10,Rainy,0,35.39,Winter
2023-02-08,S001,P0001,Arabica Coffee 500g,Groceries,North,267,150,185,148,33.5,15,Rainy,0,34.53,Winter
2023-02-09,S001,P0001,Arabica Coffee 500g,Groceries,North,566,143,139,149,33.5,20,Rainy,0,35.17,Winter
2023-02-10,S001,P0001,Arabica Coffee 500g,Groceries,North,231,128,105,135,33.5,0,Windy,0,36.75,Winter
2023-02-11,S001,P0001,Arabica Coffee 500g,Groceries,North,520,132,138,139,33.5,0,Cloudy,0,30.72,Winter
2023-02-12,S001,P0001,Arabica Coffee 500g,Groceries,North,494,141,191,150,33.5,5,Sunny,0,32.65,Winter
2023-02-13,S001,P0001,Arabica Coffee 500g,Groceries,North,304,172,207,179,33.5,0,Sunny,0,35.33,Winter
2023-02-14,S001,P0001,Arabica Coffee 500g,Groceries,North,589,176,225,160,33.5,15,Windy,0,34.32,Winter
2023-02-15,S001,P0001,Arabica Coffee 500g,Groceries,North,244,162,179,167,33.5,15,Sunny,0,30.35,Winter
2023-02-16,S001,P0001,Arabica Coffee 500g,Groceries,North,542,145,174,137,33.5,0,Cloudy,0,32.48,Winter
2023-02-17,S001,P0001,Arabica Coffee 500g,Groceries,North,278,124,143,121,33.5,15,Windy,0,31.99,Winter
2023-02-18,S001,P0001,Arabica Coffee 500g,Groceries,North,263,134,114,129,33.5,15,Cloudy,0,35.56,Winter
2023-02-19,S001,P0001,Arabica Coffee 500g,Groceries,North,333,149,155,138,33.5,20,Rainy,0,34.0,Winter
2023-02-20,S001,P0001,Arabica Coffee 500g,Groceries,North,562,173,200,169,33.5,20,Cloudy,0,33.48,Winter
2023-02-21,S001,P0001,Arabica Coffee 500g,Groceries,North,439,182,152,171,33.5,0,Windy,0,30.27,Winter
2023-02-22,S001,P0001,Arabica Coffee 500g,Groceries,North,444,144,144,141,33.5,0,Windy,0,35.19,Winter
2023-02-23,S001,P0001,Arabica Coffee 500g,Groceries,North,296,134,179,126,33.5,5,Windy,0,32.33,Winter
2023-02-24,S001,P0001,Arabica Coffee 500g,Groceries,North,333,118,146,120,33.5,15,Rainy,0,32.16,Winter
2023-02-25,S001,P0001,Arabica Coffee 500g,Groceries,North,281,122,108,131,33.5,0,Rainy,0,32.05,Winter
2023-02-26,S001,P0001,Arabica Coffee 500g,Groceries,North,508,146,185,144,33.5,5,Windy,0,36.81,Winter
2023-02-27,S001,P0001,Arabica Coffee 500g,Groceries,North,661,187,250,197,33.5,5,Cloudy,0,31.39,Winter
2023-02-28,S001,P0001,Arabica Coffee 500g,Groceries,North,287,164,195,178,33.5,5,Windy,0,33.05,Winter
2023-03-01,S001,P0001,Arabica Coffee 500g,Groceries,North,666,171,147,155,33.5,0,Rainy,0,31.8,Spring
2023-03-02,S001,P0001,Arabica Coffee 500g,Groceries,North,319,121,134,116,33.5,0,Sunny,0,30.9,Spring
2023-03-03,S001,P0001,Arabica Coffee 500g,Groceries,North,196,119,145,112,33.5,0,Sunny,0,32.17,Spring
2023-03-04,S001,P0001,Arabica Coffee 500g,Groceries,North,327,129,103,118,33.5,0,Cloudy,0,30.16,Spring
2023-03-05,S001,P0001,Arabica Coffee 500g,Groceries,North,419,154,153,151,33.5,5,Windy,0,35.38,Spring
2023-03-06,S001,P0001,Arabica Coffee 500g,Groceries,North,380,177,175,167,33.5,10,Windy,0,34.73,Spring
2023-03-07,S001,P0001,Arabica Coffee 500g,Groceries,North,425,183,248,166,33.5,0,Cloudy,0,33.24,Spring
2023-03-08,S001,P0001,Arabica Coffee 500g,Groceries,North,290,155,128,143,33.5,10,Sunny,0,30.21,Spring
2023-03-09,S001,P0001,Arabica Coffee 500g,Groceries,North,208,132,114,135,33.5,0,Windy,0,31.77,Spring
2023-03-10,S001,P0001,Arabica Coffee 500g,Groceries,North,383,129,168,116,33.5,5,Cloudy,0,34.3,Spring
2023-03-11,S001,P0001,Arabica Coffee 500g,Groceries,North,429,125,164,118,33.5,0,Windy,0,36.31,Spring
